,Characteristic,Value
0,Sex: Mujer,
1,  Diagnosis,
2,    non_diabetic,1713 (57.2%)
3,    diabetic,1281 (42.8%)
4,  Age (Years),60.53 (16.94)
5,  Symptoms,
6,    sin diagnostico,454 (15.2%)
7,    sin sintomas,349 (11.7%)
8,    sobrepeso,292 (9.8%)
9,    hipertension,193 (6.4%)
10,"    sedentarismo, sobrepeso",187 (6.2%)
11,    hipotension,166 (5.5%)
12,    sedentarismo,164 (5.5%)
13,"    anemia, fatiga",161 (5.4%)
14,    Diabetes,146 (4.9%)
15,"    obesidad, hipertension, fatiga",137 (4.6%)
16,"    Diabetes, sobrepeso",136 (4.5%)
17,"    sedentarismo, sed habitual y necesidad de beber",127 (4.2%)
18,"    sedentarismo, hipertension, sin diagnostico",126 (4.2%)
19,"    fatiga, vision borrosa",120 (4.0%)
20,"    hiperlipidemia, sedentarismo",119 (4.0%)
21,"    sedentarismo, obesidad",117 (3.9%)
22,  Tests,
23,    Colesterol,191.93 (38.17)
24,    HDL-Colesterol,60.25 (16.31)
25,    Hb-Glicosilada,6.77 (1.31)
26,    LDL-Calculado,106.69 (35.40)
27,    Trigliceridos,132.29 (80.86)
28,Sex: Hombre,
29,  Diagnosis,
30,    diabetic,1719 (57.2%)
31,    non_diabetic,1287 (42.8%)
32,  Age (Years),59.70 (14.66)
33,  Symptoms,
34,    sin diagnostico,434 (14.4%)
35,    sobrepeso,291 (9.7%)
36,    sin sintomas,259 (8.6%)
37,"    hiperlipidemia, sedentarismo",202 (6.7%)
38,"    Diabetes, sobrepeso",186 (6.2%)
39,"    sedentarismo, hipertension, sin diagnostico",178 (5.9%)
40,    Diabetes,164 (5.5%)
41,"    fatiga, vision borrosa",162 (5.4%)
42,"    sedentarismo, obesidad",156 (5.2%)
43,"    sedentarismo, sed habitual y necesidad de beber",154 (5.1%)
44,    hipertension,151 (5.0%)
45,"    obesidad, hipertension, fatiga",151 (5.0%)
46,"    anemia, fatiga",134 (4.5%)
47,"    sedentarismo, sobrepeso",133 (4.4%)
48,    hipotension,130 (4.3%)
49,    sedentarismo,121 (4.0%)
50,  Tests,
51,    Colesterol,179.12 (41.14)
52,    HDL-Colesterol,49.72 (13.40)
53,    Hb-Glicosilada,7.00 (1.43)
54,    LDL-Calculado,100.74 (38.49)
55,    Trigliceridos,149.51 (102.31)
