Model,Metric,Precision,Recall,F1-Score,Accuracy,ROC-AUC,Runtime
Logistic Regression (Non-Aggregated),Class 0 (Non-Diabetic),0.89573043448504,0.8073407700611731,0.8492418835031255,0.9161009196398479,0.9769018817378903,2.7621796131134033
Logistic Regression (Non-Aggregated),Class 1 (Diabetic),0.9234007938292246,0.9611085819800118,0.9418774339345725,0.9161009196398479,0.9769018817378903,2.7621796131134033
Logistic Regression (Non-Aggregated),Macro Avg,0.9095656141571322,0.8842246760205925,0.895559658718849,0.9161009196398479,0.9769018817378903,2.7621796131134033
Logistic Regression (Non-Aggregated),Weighted Avg,0.9153017113577162,0.9161009196398479,0.9147631144779464,0.9161009196398479,0.9769018817378903,2.7621796131134033
SVM (GPU - Non-Aggregated),Class 0 (Non-Diabetic),0.9062398421825437,0.8312548193080759,0.8671292671678767,0.9254357455823583,0.9811346465668136,2714.3594257831573
SVM (GPU - Non-Aggregated),Class 1 (Diabetic),0.9324809636056227,0.9644101617178426,0.9481768404144514,0.9254357455823583,0.9811346465668136,2714.3594257831573
SVM (GPU - Non-Aggregated),Macro Avg,0.9193604028940832,0.8978324905129592,0.907653053791164,0.9254357455823583,0.9811346465668136,2714.3594257831573
SVM (GPU - Non-Aggregated),Weighted Avg,0.9248002174358029,0.9254357455823583,0.9244543086007263,0.9254357455823583,0.9811346465668136,2714.3594257831573
Faiss k-NN (Non-Aggregated Features),Class 0 (Non-Diabetic),0.9890019104662571,0.9846296201100088,0.986810922205049,0.9922962106986374,0.9986601787129472,29.84441375732422
Faiss k-NN (Non-Aggregated Features),Class 1 (Diabetic),0.9936509689173522,0.9954688370866112,0.9945590723218308,0.9922962106986374,0.9986601787129472,29.84441375732422
Faiss k-NN (Non-Aggregated Features),Macro Avg,0.9913264396918047,0.99004922859831,0.99068499726344,0.9922962106986374,0.9986601787129472,29.84441375732422
Faiss k-NN (Non-Aggregated Features),Weighted Avg,0.9922901948362525,0.9922962106986374,0.9922911976615536,0.9922962106986374,0.9986601787129472,29.84441375732422
XGBoost (Non-Aggregated),Class 0 (Non-Diabetic),0.9155837736305019,0.8569577957127436,0.8853012713619611,0.9350052963551447,0.984858770468305,15.792514562606812
XGBoost (Non-Aggregated),Class 1 (Diabetic),0.9423335972180199,0.9673032986015087,0.9546552006483228,0.9350052963551447,0.984858770468305,15.792514562606812
XGBoost (Non-Aggregated),Macro Avg,0.9289586854242609,0.9121305471571262,0.919978236005142,0.9350052963551447,0.984858770468305,15.792514562606812
XGBoost (Non-Aggregated),Weighted Avg,0.9345039545076104,0.9350052963551447,0.9343553850215535,0.9350052963551447,0.984858770468305,15.792514562606812
Random Forest (Non-Aggregated),Class 0 (Non-Diabetic),0.9706722069566383,0.7445329769187272,0.8426950602199337,0.9186407626751408,0.9826919188682788,123.71145248413086
Random Forest (Non-Aggregated),Class 1 (Diabetic),0.9035774294816821,0.9906909066154979,0.9451310838620118,0.9186407626751408,0.9826919188682788,123.71145248413086
Random Forest (Non-Aggregated),Macro Avg,0.9371248182191602,0.8676119417671125,0.8939130720409727,0.9186407626751408,0.9826919188682788,123.71145248413086
Random Forest (Non-Aggregated),Weighted Avg,0.9232159939621025,0.9186407626751408,0.915148177127375,0.9186407626751408,0.9826919188682788,123.71145248413086
